gold\pred,<none>,banded,blotchy,braided,bubbly,cracked,crystalline,dotted,fibrous,flecked,freckled,frilly,gauzy,grid,grooved,honeycombed,interlaced,knitted,lacelike,lined,marbled,matted,meshed,paisley,pitted,polka-dotted,porous,spiralled,sprinkled,stained,striped,studded,swirly,veined,waffled,woven
<none>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
banded,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,1,0,0,36
blotchy,15,0,0,0,2,0,8,0,1,0,1,1,0,3,0,0,0,0,0,6,3,0,1,0,0,0,8,1,0,7,1,7,3,1,0,11
braided,0,0,0,12,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17
bubbly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cracked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crystalline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dotted,9,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,49
fibrous,11,0,0,2,2,1,4,0,1,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,5,0,1,12,0,0,0,1,9,20
flecked,7,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,4,3,0,0,0,4,1,5,0,0,2,0,6,1,0,0,42
freckled,37,1,0,0,3,0,0,0,0,0,24,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,9,1,0,1
frilly,22,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,27
gauzy,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,67
grid,18,0,0,0,0,0,6,0,0,0,0,0,0,20,0,0,0,0,0,6,0,0,3,0,1,0,8,3,0,2,5,2,0,0,0,6
grooved,9,1,0,1,0,0,3,0,0,0,2,0,0,2,0,0,0,0,1,6,1,1,2,0,2,0,11,0,1,19,1,6,0,0,0,11
honeycombed,20,2,0,0,0,0,5,0,0,0,3,0,0,13,0,17,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,1,0,1,0,11
interlaced,17,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,14,0,0,0,0,0,8,7,0,0,14,0,13
knitted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lacelike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marbled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meshed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paisley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pitted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
