dataset,n_errors,F1,F2,F3,F4,F5,F6,F7,F8,F1_pct,F2_pct,F3_pct,F4_pct,F5_pct,F6_pct,F7_pct,F8_pct
imagenet,859,15,7,5,0,1,11,820,0,1.7,0.8,0.6,0.0,0.1,1.3,95.5,0.0
imagenet_v2,850,70,10,3,0,1,70,695,1,8.2,1.2,0.4,0.0,0.1,8.2,81.8,0.1
imagenet_a,981,87,0,0,0,0,44,850,0,8.9,0.0,0.0,0.0,0.0,4.5,86.6,0.0
imagenet_r,878,250,23,21,0,5,97,480,2,28.5,2.6,2.4,0.0,0.6,11.0,54.7,0.2
imagenet_sketch,842,61,18,11,0,1,45,706,0,7.2,2.1,1.3,0.0,0.1,5.3,83.8,0.0
dtd,914,230,31,97,2,6,193,353,2,25.2,3.4,10.6,0.2,0.7,21.1,38.6,0.2
food101,951,1,0,1,0,0,8,941,0,0.1,0.0,0.1,0.0,0.0,0.8,98.9,0.0
resisc45,495,32,8,6,4,2,109,330,4,6.5,1.6,1.2,0.8,0.4,22.0,66.7,0.8
mathverse,2769,82,5,50,2262,126,188,10,46,3.0,0.2,1.8,81.7,4.6,6.8,0.4,1.7
mathvista,690,54,3,20,446,11,120,17,19,7.8,0.4,2.9,64.6,1.6,17.4,2.5,2.8
seed,3705,1301,67,60,308,11,1814,121,23,35.1,1.8,1.6,8.3,0.3,49.0,3.3,0.6
mme,475,133,34,25,48,1,227,3,4,28.0,7.2,5.3,10.1,0.2,47.8,0.6,0.8
realworldqa,285,116,7,8,51,1,101,0,1,40.7,2.5,2.8,17.9,0.4,35.4,0.0,0.4
naturalbench,2516,1167,221,255,90,8,645,34,96,46.4,8.8,10.1,3.6,0.3,25.6,1.4,3.8
crpe,1567,81,28,26,102,3,1280,21,26,5.2,1.8,1.7,6.5,0.2,81.7,1.3,1.7
ai2d,768,8,3,3,171,1,563,17,2,1.0,0.4,0.4,22.3,0.1,73.3,2.2,0.3
