gold\pred,<none>,banded,blotchy,braided,bubbly,bumpy,cobwebbed,crosshatched,crystalline,dotted,fibrous,flecked,freckled,frilly,gauzy,grid,grooved,honeycombed,interlaced,knitted,lacelike,lined,marbled,meshed,paisley,perforated,pitted,pleated,polka-dotted,porous,scaly,spiralled,sprinkled,stained,striped,studded,swirly,veined,waffled,woven,wrinkled
<none>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
banded,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,1,0,0,3,0
blotchy,24,0,0,0,1,1,0,0,3,0,1,0,0,1,0,1,0,0,0,1,0,5,5,0,0,0,0,0,0,12,0,2,2,16,1,1,0,0,0,3,0
braided,1,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,0
bubbly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bumpy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cobwebbed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crosshatched,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crystalline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dotted,10,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,25,0,0,0,0,2,5,0,1,0,0,17,1
fibrous,17,0,0,9,12,0,1,0,1,0,0,0,0,0,0,0,0,2,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,16,8,0
flecked,16,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,9,1,4,5,0,0,0,4,1,1,8,0,0,1,5,1,1,0,0,0,19,0
freckled,28,0,8,0,4,0,0,1,0,0,0,0,24,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0
frilly,25,2,14,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,0,2,8,0
