dataset,evaluated_n,used_expected,orig,status
imagenet,1000,49032,50000,PARTIAL
imagenet_v2,1000,9772,10000,PARTIAL
imagenet_a,1000,7467,7500,PARTIAL
imagenet_r,1000,28506,30000,PARTIAL
imagenet_sketch,1000,35350,50000,PARTIAL
dtd,1000,5640,5640,PARTIAL
food101,1000,25250,25250,PARTIAL
resisc45,1000,4500,4500,PARTIAL
mathverse,0,1631,2180,MISSING
mathvista,0,490,1000,MISSING
seed,14232,3881,13991,MISSING
mme,2374,1576,2370,MISSING
realworldqa,0,765,765,MISSING
capture,0,817,962,MISSING
naturalbench,0,1900,1900,MISSING
crpe,0,7575,7575,MISSING
ai2d,0,2704,3090,MISSING
